ID,BlendProperty1,BlendProperty2,BlendProperty3,BlendProperty4,BlendProperty5,BlendProperty6,BlendProperty7,BlendProperty8,BlendProperty9,BlendProperty10
1,-0.2263916,0.18442671,0.49057403,0.324506,0.36228603,0.6704929,0.5772348,0.22282675,-0.30757627,0.123650625
2,-0.6538997,-0.70596576,-1.1211958,0.11366724,-0.7269796,-0.06675198,-1.1266929,-1.1427536,-0.5116728,0.019953638
3,1.5687088,1.0511762,0.9712097,1.1471986,2.2271395,1.8234472,1.0426269,1.7031206,0.44666794,2.2039075
4,-0.42902994,0.52920836,0.63242537,-0.39534387,2.0188138,-0.21673816,0.58994824,1.3351669,0.87954813,-0.83491695
5,0.22390543,-1.146805,1.103166,0.40150368,2.4231935,0.16135915,1.0977068,-0.15603523,-0.5774925,1.0357774
6,-1.397774,-1.759157,0.6233492,-1.4948959,0.025991708,-1.6757957,0.45351535,-0.03689083,-0.9359725,0.018980842
7,1.0296417,0.36082146,-0.34838444,-0.020337371,-0.115412846,0.6468185,-0.40380958,0.36520064,0.9867098,0.32154673
8,2.0544987,1.0836197,0.6808252,1.1513629,-1.5071012,1.4369224,0.67553884,0.7380206,1.6443465,0.49653924
9,1.1618837,0.98978734,0.93480724,1.598287,-0.5462161,0.98848885,0.9648523,0.43156543,1.2588626,0.81220734
10,-1.1463372,-0.9548206,-1.9848509,-0.7325466,-1.181224,-0.60441446,-1.996335,0.08064685,-0.716305,-1.4428399
11,-0.03549775,0.37961176,0.78718346,0.33381793,1.9195794,-0.23963328,0.84862167,-0.19235429,-0.75502604,0.74346
12,1.198629,0.5935888,0.8190201,-0.23191153,1.1535281,0.081958316,0.66668653,1.0203735,-0.23905508,1.0019045
13,0.67738354,-0.6610733,0.9447354,0.094950356,-1.3619117,2.044492,0.8599503,0.9094471,1.3716776,1.890847
14,-0.23142003,0.73957783,0.69575393,-0.9097149,2.4613845,-0.42368835,0.7556579,0.11355392,-1.1482222,-0.33499146
15,0.38436672,2.0444012,0.5427346,1.6378875,-0.20243375,0.29145658,0.6029138,0.77866274,0.47857147,-0.4380377
16,-0.21463594,-0.7605361,0.83464086,-0.8237664,0.54787266,-0.9373966,0.90684664,-0.042239923,-1.4893881,-0.11019028
17,-1.3569301,-1.3961836,-0.23343453,-1.4098097,-0.79197997,0.09785778,-0.18344477,-0.9554856,-0.19004068,-1.3286185
18,-0.2582094,-0.38715062,0.4463433,-0.7087628,-0.040101476,-0.20276573,0.38361812,1.0536056,-0.1651985,-1.0012703
19,0.14926748,-0.358507,0.956834,-0.83859175,1.7115655,-1.1763086,0.7408913,1.5113481,-1.3977565,1.6908412
20,-0.7033432,-1.2959132,0.5249958,-1.3879637,-0.784731,-0.8888635,0.47075808,0.32707918,-1.1100966,-1.4010701
21,0.16142055,-2.2195828,0.25998083,-0.85632706,1.8272986,-1.9926915,0.19333993,1.1874921,-0.91558677,0.55762804
22,0.15953055,0.98176265,0.15610278,1.5177218,1.2150155,1.8030092,0.0323346,0.6320749,0.55678624,1.478851
23,1.2316215,1.4165443,1.2458924,0.94245744,1.4219,0.24478492,1.140576,0.6266659,0.14206281,1.492299
24,0.11826652,0.6155509,0.33623925,0.42246315,-1.0343739,0.28211972,0.34796864,-0.665023,-0.16040172,0.0014058204
25,-1.3836851,-1.0571637,0.041585907,-0.7088145,-0.5739935,-0.20358825,0.027801737,-1.0461339,-0.12752242,-0.011746807
26,-0.31152323,-0.3507456,0.16897127,-0.90351653,-0.30478948,0.17179233,0.24885137,-1.0761958,0.115190566,-1.5303324
27,0.9240248,0.20536718,-0.25047016,1.7060533,-1.3432052,0.27401426,-0.16272908,0.49594364,0.7139792,-0.88226455
28,0.21183579,-0.5332788,-0.3652788,-0.59673804,-1.1574932,-0.36961266,-0.2652812,-1.2289605,0.9407924,0.70667154
29,-0.7909487,-1.5222911,-0.25454476,-0.56816536,-0.44512615,-0.68025315,-0.19246015,-1.0849428,-0.5846643,0.15301977
30,0.044722427,0.18628903,-0.57541233,-0.7139303,-1.7233194,0.23106803,-0.5907747,-1.057721,-0.050398108,-1.5701339
31,-1.1403348,-0.37888765,0.17238702,-0.54715383,1.0968132,-0.88709986,0.21939819,-0.16422825,-1.6259097,0.34303436
32,-1.2862322,-0.4084473,0.010958724,-1.0137479,0.39213258,-1.5389544,0.06401007,-0.30000138,-0.7195326,0.34737936
33,0.6138656,0.51919365,-0.45175266,0.46005574,0.1295625,-0.3605541,-0.42784485,-0.02165153,0.12478522,-0.3599583
34,0.7057956,0.94414854,0.0027984446,-0.25011584,-0.9773811,0.06218395,0.10425939,1.3516365,-0.31107745,-0.716014
35,-0.89345044,-1.3205222,-0.19557723,-0.9205833,0.11397123,-0.31797618,-0.0718577,-1.3873391,-2.2404633,0.17727582
36,1.38061,0.2065761,0.4762191,0.6864,0.77880377,0.48654732,0.43428499,1.423031,-0.5254324,0.5177644
37,-0.075262114,-0.1815235,-0.5501154,0.12426635,-1.2743514,0.21317114,-0.55064756,-0.20285062,1.417509,-0.3689694
38,0.13264479,0.7185644,0.43333343,1.5416837,0.28597933,0.67178637,0.51628274,0.028987734,0.8917131,-0.87783223
39,-2.0895677,-1.4341366,-0.15867116,-1.4039034,0.24441274,-0.11806574,-0.08046834,-1.7864883,-0.7229861,0.08237718
40,0.21718945,0.7115791,0.6206929,-1.100117,-0.20396337,0.11269691,0.686326,-0.12780872,0.48596162,-0.43535897
